tytul,cena,cena_za_metr,powierzchnia_dom,powierzchnia_dzialka,pietra,rynek,ilosc_sypialni,rok_budowy,typ,warunki,okna
"Willa miejska Poznań, ul. Radłowa OKAZJA",710000.0,3736.84,190.0,500.0,1 piętro,pierwotny,5, 2018 , wolnostojący, do wykończenia, plastikowe
"Super funkcjonalny dom z OGRODEM, Wszędzie BLISKO",415000.0,5690.39,72.93,243.88,1 piętro,pierwotny,4, 2016 , szeregowiec, do wykończenia, plastikowe
Wyjątkowy dom w wyjątkowym miejscu,2400000.0,7058.82,340.0,1618.0,1 piętro,wtórny,7, 2007 , dworek/pałac, do zamieszkania, drewniane
"Dom, 456 m², Poznań",3100000.0,6798.25,456.0,925.0,1 piętro,wtórny,10, 1937 , dworek/pałac, do zamieszkania, drewniane
"Wyjątkowy apartament , Grunwald, Poznań",875000.0,4166.67,210.0,454.0,n/a,wtórny,4, 1930 , dworek/pałac, do zamieszkania, drewniane
Szczepankowo - domy 4 i 5 pokojowe z ogrodami MDM,349000.0,4140.47,84.29,190.0,1 piętro,pierwotny,4, 2018 , szeregowiec, do wykończenia, plastikowe
"Wyjątkowy dom w urokliwym miejscu, O % PROWIZJI !",1290000.0,5863.64,220.0,1077.0,1 piętro,wtórny,5, 2013 , wolnostojący, do zamieszkania, drewniane
"Okazja, dom na Świerczewie, duża działka",410000.0,3727.27,110.0,540.0,n/a,wtórny,4, 2013 , wolnostojący, do zamieszkania, drewniane
"Dom w cenie mieszkania, PROMOCJA, wiata garażowa",365000.0,3752.44,97.27,195.0,2 piętra,pierwotny,4, 2011 , szeregowiec, stan surowy zamknięty, plastikowe
"Dom, 240 m², Poznań",685000.0,2854.17,240.0,675.0,2 piętra,wtórny,5, 1999 , wolnostojący, do zamieszkania, plastikowe
"Dom, 240 m², Poznań",685000.0,2854.17,240.0,675.0,2 piętra,wtórny,5, 1999 , wolnostojący, do zamieszkania, plastikowe
"Morasko-Park , luksusowy, inteligentny dom",3150000.0,9000.0,350.0,2281.0,parterowy,wtórny,7, 2011 , wolnostojący, do zamieszkania, plastikowe
"Dom, 119,26 m², Poznań",750000.0,6288.78,119.26,416.0,parterowy,wtórny,4, 1930 , wolnostojący, do zamieszkania, plastikowe
Dwurodzinny dom wolnostojący na Woli,599000.0,2495.83,240.0,500.0,1 piętro,wtórny,7, 1995 , wolnostojący, do zamieszkania, plastikowe
Bliźniak -Świerczewo do własnej aranżacji wnętrze,640000.0,4571.43,140.0,487.0,1 piętro,wtórny,4, 1995 , bliźniak, do wykończenia, plastikowe
"Wyjątkowy apartament , Grunwald, Poznań",875000.0,4166.67,210.0,454.0,n/a,wtórny,4, 1930 , bliźniak, do zamieszkania, drewniane
Działaka zabudowa domem + plac 3300m2,1200000.0,3750.0,320.0,206.0,2 piętra,wtórny,7, 1990 , wolnostojący, do zamieszkania, drewniane
"DOM, zabudowa szeregowa, TARNOWO PODGÓRNE",442200.0,3991.33,110.79,42.75,1 piętro,pierwotny,5, 2016 , szeregowiec, do wykończenia, plastikowe
"OKAZJA udziały w nieruchomości 50% dom,ogród garaż",269000.0,2690.0,100.0,600.0,2 piętra,wtórny,1, 1950 , wolnostojący, do remontu, plastikowe
Kwatery pracownicze Z Najemcami!!!,690000.0,3254.72,212.0,538.0,parterowy,wtórny,7, 1985 , bliźniak, do zamieszkania, plastikowe
Sprzedam dom blisko Poznania.,453000.0,3539.06,128.0,676.0,n/a,pierwotny,5, 1985 , wolnostojący, do zamieszkania, plastikowe
"Dom, 250 m², Poznań",1590000.0,6360.0,250.0,415.0,2 piętra,wtórny,5, 2005 , wolnostojący, do zamieszkania, plastikowe
"Nowa Cena!!!Bliźniaki z garażem Suchy Las, Poznań",559000.0,4300.0,130.0,365.0,1 piętro,wtórny,4, 2016 , bliźniak, do wykończenia, plastikowe
Warszawskie - skrajny szereg,589000.0,3466.75,169.9,189.0,2 piętra,wtórny,6, 1987 , bliźniak, do wykończenia, plastikowe
"Dom, 80 m², Poznań",299000.0,3737.5,80.0,110.0,1 piętro,wtórny,4, 2017 , szeregowiec, do wykończenia, plastikowe
"Dom, 80 m², Poznań",319000.0,3987.5,80.0,110.0,1 piętro,wtórny,4, 2017 , szeregowiec, do wykończenia, plastikowe
SZCZEPANKOWO !! Dom w POZNANIU !! Duże działki,399000.0,3963.05,100.68,420.0,1 piętro,pierwotny,5, 2017 , szeregowiec, do wykończenia, plastikowe
Szczepankowo - domy 4 i 5 pokojowe z ogrodami MDM,349000.0,4140.47,84.29,190.0,1 piętro,pierwotny,4, 2018 , szeregowiec, do wykończenia, plastikowe
"Dom, 300 m², Poznań",1500000.0,5000.0,300.0,848.0,1 piętro,wtórny,7, 1950 , wolnostojący, do remontu, plastikowe
Dom na zielonej Woli!,568000.0,2854.27,199.0,510.0,1 piętro,wtórny,4, 1992 , bliźniak, do zamieszkania, plastikowe
"Willa miejska Poznań, ul. Radłowa OKAZJA",710000.0,3736.84,190.0,500.0,1 piętro,pierwotny,5, 2018 , wolnostojący, do wykończenia, plastikowe
Dom z ogrodem w cenie mieszkania 10 min od centrum,315000.0,3150.0,100.0,300.0,1 piętro,pierwotny,4, 2018 , bliźniak, do wykończenia, plastikowe
"Super funkcjonalny dom z OGRODEM, Wszędzie BLISKO",415000.0,5690.39,72.93,243.88,1 piętro,pierwotny,4, 2016 , szeregowiec, do wykończenia, plastikowe
"Sprzedam dom bliźniaczy , 150m², Poznań",599000.0,3993.33,150.0,488.0,1 piętro,pierwotny,4, 2017 , bliźniak, do zamieszkania, plastikowe
"Dom Poznań Junikowo, ul. Przepiórcza",699000.0,4755.1,147.0,573.0,1 piętro,wtórny,4, 2018 , bliźniak, do wykończenia, plastikowe
Uroczy dom tuż obok Poznania ! Wszędzie blisko !,396000.0,5500.0,72.0,244.0,1 piętro,wtórny,4, 2018 , szeregowiec, do wykończenia, plastikowe
Funkcjonalny i solidny dom ! W granicy Poznania !,362000.0,5027.78,72.0,150.0,1 piętro,wtórny,4, 2018 , szeregowiec, do wykończenia, plastikowe
Nowoczesny dom na Morasku!,640000.0,4571.43,140.0,350.0,parterowy,wtórny,4, 2018 , bliźniak, do wykończenia, plastikowe
"Solidny dom, 2 garaże, 2 wejścia, niezależne biuro",790000.0,2947.76,268.0,737.0,1 piętro,wtórny,6, 1997 , wolnostojący, do zamieszkania, drewniane
Dom na Świerczewie,535000.0,3566.67,150.0,478.0,1 piętro,wtórny,4, 1997 , bliźniak, do zamieszkania, plastikowe
Skrajny segment szeregowca na Świerczewie,510000.0,3000.0,170.0,315.0,1 piętro,wtórny,5, 1997 , szeregowiec, do zamieszkania, plastikowe
Bliźniak z garażem oś. Bajkowe,565000.0,3323.53,170.0,304.0,1 piętro,wtórny,4, 1980 , bliźniak, do remontu, plastikowe
Bliźniak przy Lasku Marcelińskim oś. Bajkowe,565000.0,3323.53,170.0,304.0,1 piętro,wtórny,4, 1980 , bliźniak, do remontu, plastikowe
"Przestronny dom na Strzeszynie, 198m2, Poznań",670000.0,3371.92,198.7,364.5,2 piętra,wtórny,8, 2009 , bliźniak, stan surowy zamknięty, plastikowe
"Dom, Poznań, os. Marysieńki, Piątkowo",699000.0,3495.0,200.0,223.0,3 piętra i więcej,wtórny,5, 1990 , szeregowiec, do zamieszkania, plastikowe
Dom wolnostojący z dużą działką . Blisko Malta,699000.0,3328.57,210.0,1214.0,1 piętro,wtórny,3, 1990 , wolnostojący, do remontu, brak
"Komfortowy Dom Poznań, Szczepankowo, Nowe Miasto",629000.0,3494.44,180.0,450.0,1 piętro,wtórny,4, 2017 , bliźniak, do wykończenia, plastikowe
++3 Mieszkania+++,790000.0,3291.67,240.0,380.0,2 piętra,wtórny,7, 2017 , bliźniak, do wykończenia, plastikowe
"DOM BLIŹNIACZY - Przeźmierowo, Jaskółcza 116M2",498000.0,4293.1,116.0,320.0,1 piętro,pierwotny,4, 2017 , bliźniak, do wykończenia, plastikowe
"Dom, 100,68 m², Poznań",399000.0,3963.05,100.68,0.0,1 piętro,pierwotny,4, 2018 , bliźniak, do wykończenia, plastikowe
"Dom, 84,29 m², Poznań",359000.0,4259.11,84.29,0.0,1 piętro,pierwotny,4, 2018 , bliźniak, do wykończenia, plastikowe
"Ładny dom, możliwość zamiany",580000.0,4113.48,141.0,532.0,n/a,wtórny,5, 2018 , wolnostojący, do zamieszkania, drewniane
"Poznań, ul. Myśliborska",370875.0,3180.75,116.6,464.0,n/a,wtórny,4, 2018 , wolnostojący, do zamieszkania, drewniane
Dom po remoncie * Na granicy Górczyna i Świerczewa,965000.0,6031.25,160.0,301.0,2 piętra,wtórny,4, 1960 , wolnostojący, do zamieszkania, plastikowe
NOWY Dom Morasko Poznań,720000.0,4363.64,165.0,650.0,1 piętro,pierwotny,5, 2017 , bliźniak, do wykończenia, plastikowe
"Dom, 64 m², Poznań",350000.0,5468.75,64.0,200.0,1 piętro,wtórny,3, 2017 , bliźniak, do wykończenia, plastikowe
"Dom, 220 m², Poznań",730000.0,3318.18,220.0,330.0,2 piętra,wtórny,10, 1985 , bliźniak, do zamieszkania, plastikowe
"Dom, 190 m², Poznań",996000.0,5242.11,190.0,1050.0,1 piętro,wtórny,5, 2008 , wolnostojący, do zamieszkania, plastikowe
"Dom, 140 m², Poznań",640000.0,4571.43,140.0,350.0,1 piętro,wtórny,4, 2017 , szeregowiec, do wykończenia, plastikowe
Na sprzedaż duży dom z potencjałem,1249000.0,3819.57,327.0,733.0,1 piętro,wtórny,10, 1965 , wolnostojący, do zamieszkania, plastikowe
Dom Poznań Grunwald - Junikowo,720000.0,3600.0,200.0,453.0,1 piętro,wtórny,5, 1965 , bliźniak, do zamieszkania, drewniane
"Willa miejska Poznań, ul. Radłowa OKAZJA",710000.0,3736.84,190.0,500.0,1 piętro,pierwotny,5, 2018 , wolnostojący, do wykończenia, plastikowe
"Super funkcjonalny dom z OGRODEM, Wszędzie BLISKO",415000.0,5690.39,72.93,243.88,1 piętro,pierwotny,4, 2016 , szeregowiec, do wykończenia, plastikowe
Dom z ogrodem w cenie mieszkania 10 min od centrum,315000.0,3150.0,100.0,300.0,1 piętro,pierwotny,4, 2018 , bliźniak, do wykończenia, plastikowe
Przestronny bliźniak 150m2 z ogrodem i garażem,599000.0,3993.33,150.0,488.0,n/a,pierwotny,4, 2017 , bliźniak, do wykończenia, plastikowe
BEZPOŚREDNIO – Piękny dom wolnostojący na Sołaczu,1790000.0,7160.0,250.0,635.0,2 piętra,wtórny,4, 1956 , wolnostojący, do zamieszkania, drewniane
"Dom, 73 m², Poznań",400000.0,5479.45,73.0,100.0,n/a,wtórny,4, 2014 , szeregowiec, do zamieszkania, drewniane
Dom z garażem do remontu - Smochowice,495000.0,2152.17,230.0,490.0,1 piętro,wtórny,4, 1996 , bliźniak, do remontu, plastikowe
"Grochowska 23, dochodowy, wynajęty MOTEL, parking",2350000.0,3916.67,600.0,1200.0,2 piętra,wtórny,10, 2009 , wolnostojący, do zamieszkania, plastikowe
"Grochowska 23, dochodowy, wynajęty MOTEL, parking",2350000.0,3671.88,640.0,1200.0,2 piętra,wtórny,10, 1979 , wolnostojący, do zamieszkania, plastikowe
Poznań dom nowy bliźniak na sprzedaż,349000.0,3034.78,115.0,380.0,1 piętro,pierwotny,5, 2017 , bliźniak, stan surowy zamknięty, plastikowe
Dom Poznań Smochowice,449000.0,3301.47,136.0,306.0,1 piętro,wtórny,5, 1988 , bliźniak, stan surowy zamknięty, plastikowe
"Dom, 143,61 m², Poznań",629000.0,4379.92,143.61,380.0,2 piętra,pierwotny,5, 2017 , bliźniak, stan surowy zamknięty, plastikowe
Piękna okolica las/jezioro-dojazd asfalt-oferta 0%,499000.0,3219.35,155.0,488.0,1 piętro,wtórny,4, 2002 , wolnostojący, do zamieszkania, plastikowe
"Dom, 165 m², Poznań",549000.0,3327.27,165.0,770.0,n/a,wtórny,5, 2002 , bliźniak, do zamieszkania, plastikowe
"Tulce,Szczepankowo,4 pok,140,56m2,GARAŻ,OGRÓD!",629000.0,4474.96,140.56,450.0,1 piętro,wtórny,4, 2017 , bliźniak, do wykończenia, plastikowe
Szczepankowo - domy 4 i 5 pokojowe z ogrodami MDM,349000.0,4140.47,84.29,190.0,1 piętro,pierwotny,4, 2018 , szeregowiec, do wykończenia, plastikowe
Nowoczesna parterowa rezydencja z kortem tenisowym,2400000.0,7058.82,340.0,5630.0,1 piętro,wtórny,6, 2009 , wolnostojący, do zamieszkania, drewniane
Poznań dom wolnostojący na sprzedaż,439000.0,3990.91,110.0,837.0,1 piętro,wtórny,4, 1960 , wolnostojący, do remontu, plastikowe
"Dom, 292,50 m², Poznań",618000.0,2112.82,292.5,350.0,3 piętra i więcej,wtórny,6, 1987 , bliźniak, do zamieszkania, plastikowe
Wolnostojący 6-pok. dom z tarasem blisko centrum.,690000.0,2395.83,288.0,459.0,1 piętro,wtórny,6, 1984 , wolnostojący, do zamieszkania, plastikowe
Dom na Grunwaldzie,885000.0,5000.0,177.0,147.0,1 piętro,wtórny,5, 2000 , szeregowiec, do zamieszkania, plastikowe
Okazja ! Kamienica Na Starym Mieście W Poznaniu Na,7500000.0,4364.27,1718.5,644.0,3 piętra i więcej,wtórny,10, 1900 , kamienica, do zamieszkania, plastikowe
Sprzedam dom w Pniewach,1390000.0,3564.1,390.0,2000.0,1 piętro,wtórny,7, 2007 , wolnostojący, do zamieszkania, plastikowe
"Dom, 705 m², Poznań",2900000.0,4113.48,705.0,3600.0,1 piętro,wtórny,10, 2000 , wolnostojący, do zamieszkania, plastikowe
"Dom na sprzedaż Poznań, Szczepankowo, Spławie",460000.0,2072.07,222.0,518.0,n/a,wtórny,6, 2016 , bliźniak, do zamieszkania, plastikowe
"Atrakcyjny, oszczędny nowoczesny dom Poznań",1190000.0,5261.99,226.15,1220.0,parterowy,wtórny,4, 2008 , wolnostojący, do zamieszkania, drewniane
Na sprzedaż dom z ogrodem Poznań - Strzeszyn,1250000.0,3255.21,384.0,743.0,1 piętro,wtórny,7, 2017 , wolnostojący, do wykończenia, plastikowe
"Dom, 292 m², Poznań",1200000.0,4109.59,292.0,536.0,2 piętra,wtórny,7, 1985 , wolnostojący, do zamieszkania, plastikowe
"Dom, 165 m², Poznań",549000.0,3327.27,165.0,750.0,1 piętro,wtórny,4, 2015 , bliźniak, stan surowy otwarty, plastikowe
Dom w zabudowie szeregowej na Grunwaldzie,885000.0,5011.33,176.6,157.0,1 piętro,wtórny,5, 2000 , szeregowiec, do zamieszkania, plastikowe
Komfortowy dom w zabudowie szeregowej na Podolanch,710000.0,5916.67,120.0,180.0,1 piętro,wtórny,5, 2013 , szeregowiec, do zamieszkania, plastikowe
"Willa miejska Poznań, ul. Radłowa OKAZJA",710000.0,3736.84,190.0,500.0,1 piętro,pierwotny,5, 2018 , wolnostojący, do wykończenia, plastikowe
"Super funkcjonalny dom z OGRODEM, Wszędzie BLISKO",415000.0,5690.39,72.93,243.88,1 piętro,pierwotny,4, 2016 , szeregowiec, do wykończenia, plastikowe
Dom z ogrodem w cenie mieszkania 10 min od centrum,315000.0,3150.0,100.0,300.0,1 piętro,pierwotny,4, 2018 , bliźniak, do wykończenia, plastikowe
Miejsce parkingowe i ogródek - NOWY dom !,362000.0,5027.78,72.0,150.0,1 piętro,pierwotny,4, 2018 , szeregowiec, do wykończenia, plastikowe
Super dom ! Tuż obok Poznania - Wszędzie BLISKO !,396000.0,5500.0,72.0,244.0,1 piętro,wtórny,4, 2018 , szeregowiec, do wykończenia, plastikowe
"Dom w cenie mieszkania, PROMOCJA, wiata garażowa",365000.0,3752.44,97.27,195.0,2 piętra,pierwotny,4, 2011 , szeregowiec, stan surowy zamknięty, plastikowe
"Wyjątkowy apartament , Grunwald, Poznań",875000.0,4166.67,210.0,454.0,n/a,wtórny,4, 1930 , szeregowiec, do zamieszkania, drewniane
BLIŹNIAKI - 4 pokoje - OGRÓD - Poznań,497500.0,4564.22,109.0,401.0,1 piętro,pierwotny,4, 2018 , bliźniak, do wykończenia, plastikowe
"Dom, 160 m², Poznań",650000.0,4062.5,160.0,528.0,1 piętro,wtórny,4, 1981 , bliźniak, do zamieszkania, plastikowe
"Dom, 160 m², Poznań",650000.0,4062.5,160.0,528.0,1 piętro,wtórny,4, 1981 , bliźniak, do zamieszkania, plastikowe
Dom W Atrakcyjnej Dzielnicy Poznania,815000.0,5093.75,160.0,320.0,parterowy,wtórny,4, 1981 , bliźniak, do zamieszkania, plastikowe
Dom z potencjałem – pomysł na biznes!!!,618000.0,2809.09,220.0,345.0,1 piętro,wtórny,5, 1988 , bliźniak, do zamieszkania, drewniane
Nowa Oferta - Nowoczesny Dom Po Remoncie.,649000.0,4326.67,150.0,245.0,2 piętra,wtórny,4, 1988 , bliźniak, do zamieszkania, drewniane
Zadbany Dom # 3poziomy # na firmę # czytelny adres,779000.0,3540.91,220.0,345.0,2 piętra,wtórny,7, 1995 , bliźniak, do zamieszkania, drewniane
*Unikatowy dom*dla dużej rodziny*6 pokoi*Strzeszyn,990000.0,4125.0,240.0,478.0,2 piętra,wtórny,6, 2007 , bliźniak, do zamieszkania, plastikowe
"Dom na sprzedaż, Poznań ul. Piękna",2300000.0,5495.82,418.5,1084.5,n/a,wtórny,5, 2007 , wolnostojący, stan surowy zamknięty, plastikowe
"Dom, 143,60 m², Poznań",629000.0,4380.22,143.6,782.0,2 piętra,pierwotny,5, 2017 , bliźniak, stan surowy zamknięty, plastikowe
"Dom, 55 m², Poznań",149000.0,2709.09,55.0,500.0,n/a,wtórny,3, 2012 , wolnostojący, stan surowy zamknięty, plastikowe
"Naramowice, Burysława! Dom z ogrodem i garażem!",1899000.0,5055.1,375.66,736.0,1 piętro,wtórny,5, 2011 , wolnostojący, do zamieszkania, plastikowe
Dom parterowy z pięknym ogrodem /ZOBACZ FILM,1090000.0,3838.03,284.0,5400.0,parterowy,wtórny,5, 2008 , wolnostojący, do zamieszkania, plastikowe
Okazyjna cena domu w Przeźmierowie,570000.0,2850.0,200.0,646.0,1 piętro,wtórny,6, 1993 , wolnostojący, do zamieszkania, plastikowe
Zadbany dom z piękną działką w spokojnej okolicy,599000.0,4991.67,120.0,1565.0,parterowy,wtórny,4, 1955 , wolnostojący, do zamieszkania, plastikowe
Ponadczasowy Dom Na Woli,800000.0,2000.0,400.0,1000.0,1 piętro,wtórny,8, 1990 , wolnostojący, do zamieszkania, plastikowe
"Dom, 740 m², Poznań",3552000.0,4800.0,740.0,900.0,n/a,wtórny,6, 1990 , wolnostojący, do zamieszkania, plastikowe
"Dom, 200 m², Poznań",850000.0,4250.0,200.0,697.0,n/a,wtórny,4, 1990 , szeregowiec, do zamieszkania, plastikowe
"Dom, 120 m², Poznań",540000.0,4500.0,120.0,420.0,1 piętro,wtórny,4, 1990 , wolnostojący, do wykończenia, plastikowe
"Dom, 121 m², Poznań",429000.0,3545.45,121.0,415.0,n/a,wtórny,4, 1990 , wolnostojący, do wykończenia, plastikowe
"Kamienica na sprzedaż, Poznań, Grunwald",3000000.0,4285.71,700.0,1500.0,3 piętra i więcej,wtórny,10, 1990 , wolnostojący, do remontu, plastikowe
"Dom na sprzedaż na działalność gospodarczą, Poznań",1400000.0,3816.07,366.87,845.0,2 piętra,wtórny,8, 1990 , wolnostojący, do remontu, plastikowe
"Dom, 170 m², Poznań",980000.0,5764.71,170.0,1000.0,parterowy,wtórny,6, 1990 , wolnostojący, do zamieszkania, plastikowe
"Dom, 210 m², Poznań",439000.0,2090.48,210.0,400.0,n/a,wtórny,6, 1990 , bliźniak, do zamieszkania, plastikowe
"Willa miejska Poznań, ul. Radłowa OKAZJA",710000.0,3736.84,190.0,500.0,1 piętro,pierwotny,5, 2018 , wolnostojący, do wykończenia, plastikowe
"Super funkcjonalny dom z OGRODEM, Wszędzie BLISKO",415000.0,5690.39,72.93,243.88,1 piętro,pierwotny,4, 2016 , szeregowiec, do wykończenia, plastikowe
Dom z ogrodem w cenie mieszkania 10 min od centrum,315000.0,3150.0,100.0,300.0,1 piętro,pierwotny,4, 2018 , bliźniak, do wykończenia, plastikowe
"Dom w Poznaniu, cena tylko 539.000zł",539000.0,4491.67,120.0,1056.0,1 piętro,wtórny,5, 2018 , wolnostojący, do zamieszkania, plastikowe
Osiedle zamknięte Poznań- Szczepankowo (promocja),480000.0,3455.47,138.91,224.0,2 piętra,pierwotny,4, 2018 , bliźniak, do wykończenia, plastikowe
"Dom, 456 m², Poznań",3100000.0,6798.25,456.0,925.0,1 piętro,wtórny,10, 1937 , bliźniak, do wykończenia, drewniane
"Dom w zabudowie bliźniaczej, gotowy do wprowadzeni",790000.0,6148.34,128.49,350.0,2 piętra,wtórny,5, 2012 , bliźniak, do wykończenia, drewniane
"Dom, 120 m², Poznań",750000.0,6250.0,120.0,4000.0,2 piętra,wtórny,4, 2012 , wolnostojący, do wykończenia, drewniane
Duży i atrakcyjny dom wolnostojący-parterowy.,1550000.0,8378.38,185.0,1040.0,n/a,wtórny,4, 2012 , wolnostojący, do zamieszkania, plastikowe
"Dom, 270 m², Poznań",885000.0,3277.78,270.0,460.0,n/a,wtórny,8, 2012 , bliźniak, do zamieszkania, plastikowe
"Dom, 868,20 m², Poznań",2000000.0,2303.62,868.2,3363.0,n/a,wtórny,4, 2012 , wolnostojący, do zamieszkania, plastikowe
"Dom, 137 m², Poznań",699000.0,5102.19,137.0,280.0,n/a,wtórny,5, 2012 , bliźniak, do wykończenia, plastikowe
"Dom, 300 m², Poznań",1600000.0,5333.33,300.0,1852.0,n/a,wtórny,10, 2012 , bliźniak, do wykończenia, plastikowe
"Dom, 577,50 m², Poznań",999000.0,1729.87,577.5,599.0,2 piętra,wtórny,8, 2012 , bliźniak, do wykończenia, plastikowe
"Dom, 200 m², Poznań",850000.0,4250.0,200.0,697.0,2 piętra,wtórny,4, 2012 , szeregowiec, do zamieszkania, plastikowe
"Dom, 868,20 m², Poznań",2000000.0,2303.62,868.2,3363.0,n/a,wtórny,4, 2012 , wolnostojący, do zamieszkania, plastikowe
"Dom, 187 m², Poznań",1750000.0,9358.29,187.0,1000.0,n/a,wtórny,5, 2012 , wolnostojący, do zamieszkania, plastikowe
"Dom, 290 m², Poznań",2300000.0,7931.03,290.0,2860.0,parterowy,wtórny,5, 2012 , wolnostojący, do zamieszkania, drewniane
"Dom, 300 m², Poznań",1100000.0,3666.67,300.0,790.0,1 piętro,wtórny,10, 2012 , wolnostojący, do wykończenia, drewniane
"Dom, 2 011 m², Poznań",1250000.0,621.58,2011.0,1013.0,n/a,wtórny,5, 2012 , wolnostojący, do zamieszkania, drewniane
"Dom, 120 m², Poznań",710000.0,5916.67,120.0,180.0,2 piętra,wtórny,5, 2012 , szeregowiec, do zamieszkania, plastikowe
Segment szeregowca zielone osiedle Lotników Wlkp,595000.0,3500.0,170.0,231.0,1 piętro,wtórny,6, 1997 , szeregowiec, do zamieszkania, plastikowe
Dom na sprzedaż - Morasko.,525000.0,2982.95,176.0,400.0,1 piętro,wtórny,4, 2002 , bliźniak, do zamieszkania, plastikowe
Dom z dużą działką - Stary Grunwald - Poznań,795000.0,4308.94,184.5,512.0,n/a,wtórny,5, 1980 , bliźniak, do remontu, drewniane
"Sprzedam klimatyczny dom na Ogrodach, Poznań",850000.0,3400.0,250.0,291.0,2 piętra,wtórny,7, 2000 , bliźniak, do zamieszkania, plastikowe
Sprzedam Pilnie!!!,2500000.0,6578.95,380.0,700.0,1 piętro,wtórny,8, 2014 , wolnostojący, do zamieszkania, plastikowe
Dom w Puszczykowie na sprzedaż,650000.0,2634.78,246.7,720.0,1 piętro,wtórny,7, 1972 , wolnostojący, do zamieszkania, plastikowe
"Dom, 200 m², Poznań",595000.0,2975.0,200.0,381.0,1 piętro,wtórny,5, 1988 , bliźniak, do zamieszkania, plastikowe
"120 m2 parter 350 m2 działka,na gabinety lekarski",750000.0,6250.0,120.0,350.0,1 piętro,pierwotny,3, 1935 , wolnostojący, do zamieszkania, plastikowe
"Luksusowa willa, Twój inteligentny dom!",1950000.0,5909.09,330.0,1240.0,2 piętra,wtórny,6, 2005 , wolnostojący, do zamieszkania, plastikowe
Bajeczny dom na pięknej działce - dla Ciebie!,2300000.0,7931.03,290.0,2850.0,1 piętro,wtórny,5, 2007 , wolnostojący, do zamieszkania, drewniane
"Willa miejska Poznań, ul. Radłowa OKAZJA",710000.0,3736.84,190.0,500.0,1 piętro,pierwotny,5, 2018 , wolnostojący, do wykończenia, plastikowe
Dom z ogrodem w cenie mieszkania 10 min od centrum,315000.0,3150.0,100.0,300.0,1 piętro,pierwotny,4, 2018 , bliźniak, do wykończenia, plastikowe
"Super funkcjonalny dom z OGRODEM, Wszędzie BLISKO",415000.0,5690.39,72.93,243.88,1 piętro,pierwotny,4, 2016 , szeregowiec, do wykończenia, plastikowe
Atrakcyjny dom na każdą firmę lub dla 3 rodzin,700000.0,1750.0,400.0,977.0,1 piętro,wtórny,10, 1999 , wolnostojący, do zamieszkania, plastikowe
Atrakcyjny dom w cichej i spokojnej lokalizacji,1100000.0,4400.0,250.0,752.0,1 piętro,wtórny,6, 1992 , wolnostojący, do zamieszkania, plastikowe
Miejsce parkingowe i ogródek - NOWY dom !,362000.0,5027.78,72.0,150.0,1 piętro,pierwotny,4, 2018 , szeregowiec, do wykończenia, plastikowe
Piękna nieruchomość na placówkę renomowanej firmy.,2850000.0,5700.0,500.0,1000.0,3 piętra i więcej,wtórny,10, 2018 , wolnostojący, do zamieszkania, plastikowe
"Ul. Starowiejska, Winogrady - 0% Prowizji !!!",1050000.0,4605.26,228.0,200.0,1 piętro,wtórny,4, 1980 , szeregowiec, do zamieszkania, plastikowe
Ekskluzywny dom w otoczeniu zieleni blisko centrum,1250000.0,5000.0,250.0,363.0,parterowy,wtórny,5, 1998 , bliźniak, do zamieszkania, drewniane
Nowoczesny Dom Niedaleko Jeziora W Kikrzu,1390000.0,6426.26,216.3,1000.0,1 piętro,wtórny,6, 2017 , wolnostojący, do zamieszkania, drewniane
Dom z wyposażeniem,950000.0,5277.78,180.0,543.0,1 piętro,wtórny,4, 1985 , bliźniak, do zamieszkania, drewniane
"Dom, 71 m², Poznań",405000.0,5704.23,71.0,162.0,2 piętra,wtórny,4, 2018 , bliźniak, do zamieszkania, drewniane
"4 pokoje, 70 m2, ogródek Nowe Miasto Szczepankowo",405000.0,5785.71,70.0,50.0,2 piętra,wtórny,4, 2018 , bliźniak, do zamieszkania, drewniane
"Dom Nowe Miasto, Szczepanowo, 4 pokoje 84,29 m2",349000.0,4154.76,84.0,0.0,2 piętra,wtórny,4, 2018 , bliźniak, do zamieszkania, drewniane
Wygodny dom na pięknej działce * Kiekrz * 157m2,1149900.0,7296.32,157.6,733.0,1 piętro,wtórny,4, 2006 , wolnostojący, do zamieszkania, drewniane
"Dom, 206 m², Poznań",860000.0,4174.76,206.0,1300.0,1 piętro,wtórny,6, 2017 , wolnostojący, do wykończenia, drewniane
"Dom, 144 m², Poznań",629000.0,4368.06,144.0,782.0,2 piętra,pierwotny,5, 2017 , bliźniak, do wykończenia, aluminiowe
"Dom, 155 m², Poznań",640000.0,4129.03,155.0,350.0,2 piętra,wtórny,5, 2018 , bliźniak, do wykończenia, aluminiowe
Dom wolnostojący,2300000.0,7931.03,290.0,1913.0,n/a,wtórny,5, 2008 , wolnostojący, do wykończenia, aluminiowe
"Dom, 200 m², Poznań",690000.0,3450.0,200.0,960.0,2 piętra,wtórny,6, 1936 , bliźniak, do remontu, aluminiowe
Dom w zabudowie szeregowej,620000.0,2296.3,270.0,210.0,2 piętra,wtórny,8, 1998 , szeregowiec, do remontu, aluminiowe
Dom w zabudowie szeregowej,799000.0,3196.0,250.0,330.0,1 piętro,wtórny,5, 1992 , szeregowiec, do remontu, aluminiowe
