tytul,cena,cena_za_metr,powierzchnia_dom,powierzchnia_dzialka,pietra,rynek,ilosc_sypialni,rok_budowy,typ,warunki,okna
"Lokal w budynku bliźniaczym, ogród",400000.0,4938.27,81.0,87.0,n/a,pierwotny,4, 2017 , bliźniak, do wykończenia, plastikowe
"Dom w Poznaniu, cena tylko 539.000zł",539000.0,4491.67,120.0,1056.0,1 piętro,wtórny,5, 2017 , wolnostojący, do zamieszkania, plastikowe
Atrakcyjny dom na każdą firmę lub dla 3 rodzin,700000.0,1750.0,400.0,977.0,1 piętro,wtórny,10, 1999 , wolnostojący, do zamieszkania, plastikowe
Dom W Poznaniu Na Grunwaldzie,750000.0,5769.23,130.0,1100.0,1 piętro,wtórny,4, 1970 , wolnostojący, do zamieszkania, plastikowe
"Malwowa-dom na firmę, gabinety, lub do podziału",1200000.0,3636.36,330.0,1300.0,n/a,wtórny,6, 1998 , bliźniak, do zamieszkania, plastikowe
Dom w spokojnej okolicy!,790000.0,3853.66,205.0,847.0,n/a,wtórny,5, 2017 , bliźniak, do zamieszkania, plastikowe
"Okol. Galerii PLAZA elegancki, mieszkalno usługowy",1590000.0,4416.67,360.0,300.0,1 piętro,wtórny,10, 2007 , szeregowiec, do zamieszkania, plastikowe
W granicy Poznania ! Solidny dom !,457000.0,5440.48,84.0,303.0,1 piętro,pierwotny,4, 2018 , szeregowiec, do wykończenia, plastikowe
Luksusowy dom z basenem Poznań Szczepankowo,1300000.0,2000.0,650.0,3600.0,1 piętro,wtórny,10, 2000 , wolnostojący, do zamieszkania, plastikowe
Super dom ! Tuż obok Poznania - Wszędzie BLISKO !,396000.0,5500.0,72.0,244.0,1 piętro,wtórny,4, 2018 , szeregowiec, do wykończenia, plastikowe
Green Park - Poznań Kotowo,345000.0,3970.54,86.89,406.63,2 piętra,pierwotny,4, 2017 , bliźniak, do wykończenia, plastikowe
Green Park - Poznań Kotowo,285000.0,4134.03,68.94,241.94,2 piętra,pierwotny,3, 2017 , bliźniak, do wykończenia, plastikowe
Green Park - Poznań Kotowo,469500.0,4307.34,109.0,470.0,2 piętra,pierwotny,4, 2017 , wolnostojący, do wykończenia, plastikowe
PRZEŹMIEROWO wolnostojący 2-rodzinny bardzo ładny,550000.0,3666.67,150.0,650.0,1 piętro,wtórny,6, 1993 , wolnostojący, do zamieszkania, plastikowe
Przytulny domek 70 m2 ogród Kiekrz 10 km Poznań,250000.0,3571.43,70.0,358.0,1 piętro,wtórny,3, 2000 , wolnostojący, do zamieszkania, plastikowe
Wysoki Standard Ładna Lokalizacja Malta Nad Stawem,1100000.0,4230.77,260.0,499.0,n/a,wtórny,4, 1994 , bliźniak, do zamieszkania, plastikowe
"Dom, 150 m², Poznań",599000.0,3993.33,150.0,490.0,1 piętro,pierwotny,4, 2017 , szeregowiec, do wykończenia, plastikowe
"Kamionki, nowy, luksusowy dom ze strodrzewem",1490000.0,5912.7,252.0,2890.0,1 piętro,wtórny,7, 2012 , wolnostojący, do zamieszkania, drewniane
"Podolany, nowy, luksusowy, wyposażony dom",1790000.0,7160.0,250.0,506.0,2 piętra,wtórny,7, 2011 , wolnostojący, do zamieszkania, drewniane
"Chyby, luksusowa rezydencja w okazyjnej cenie",1590000.0,3312.5,480.0,1860.0,1 piętro,wtórny,10, 1999 , wolnostojący, do zamieszkania, drewniane
"Tuczno, urokliwy dom ze stawem i basenem",1525000.0,5083.33,300.0,3677.0,1 piętro,wtórny,7, 1999 , wolnostojący, do zamieszkania, plastikowe
